Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
1/22/2020,Papua New Guinea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,Paraguay,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Peru,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Philippines,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,Poland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Portugal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Qatar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Romania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Russia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Rwanda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Saint Kitts and Nevis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Saint Lucia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Saint Vincent and the Grenadines,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,San Marino,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Sao Tome and Principe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Saudi Arabia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Senegal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Serbia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Seychelles,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Sierra Leone,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Singapore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,Slovakia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Slovenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Somalia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,South Africa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,South Korea,1,NaN,NaN,1,NaN,NaN,NaN,Western Pacific
1/22/2020,South Sudan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Spain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Sri Lanka,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/22/2020,Sudan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Suriname,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Sweden,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Switzerland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Syria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Taiwan*,1,NaN,NaN,1,NaN,NaN,NaN,Western Pacific
1/22/2020,Tajikistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Tanzania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Thailand,2,NaN,NaN,2,NaN,NaN,NaN,South-East Asia
1/22/2020,Timor-Leste,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/22/2020,Togo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
